EnsemblGeneID	Cellline1_CON	Cellline1_DEX	Cellline2_CON	Cellline2_DEX	Cellline3_CON	Cellline3_DEX
ENSG00000006210	3367	2501	1532	1814	1354	1487
ENSG00000006282	6718	5429	5993	5960	5883	5622
ENSG00000006283	163	150	11	2	19	13
ENSG00000006327	11917	7745	14388	12743	12971	9987
ENSG00000006377	0	1	0	0	0	0
ENSG00000006432	3280	2491	3453	3617	3940	3091
ENSG00000006451	5822	5533	6326	6345	5742	4433
ENSG00000006453	4083	3483	3719	4068	3024	2704
ENSG00000006459	285	145	485	501	589	419
ENSG00000006468	1423	760	483	351	395	226
ENSG00000006530	1595	1366	1542	1539	1581	1256
ENSG00000006534	2612	2438	2107	2350	1364	1775
ENSG00000006555	13	4	27	20	68	56
ENSG00000006576	2617	2397	972	898	1465	1101
ENSG00000006606	14	8	0	0	37	15
ENSG00000006607	2947	3195	2947	3754	2560	2665
ENSG00000006611	3	3	1	3	1	0
ENSG00000006625	2874	2844	1279	1194	1387	1121
ENSG00000006634	382	455	185	163	148	119
ENSG00000006638	306	359	16	26	164	247
ENSG00000006652	2800	2299	3311	2913	3739	3017
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	831	696	824	748	613	580
ENSG00000006704	2809	2183	3288	3124	2544	2150
ENSG00000006712	6177	4893	4147	4116	4270	3631
ENSG00000006715	7553	5606	8583	7532	6931	5089
ENSG00000006740	90	72	54	46	68	51
ENSG00000006744	5245	4457	5292	5462	4948	4434
ENSG00000006747	2593	1817	2227	1788	1099	628
ENSG00000006756	2023	1525	2727	2777	3003	2734
ENSG00000006757	818	619	747	728	1328	1143
ENSG00000006788	0	0	0	0	0	0
ENSG00000006831	5961	5166	4827	4717	4253	3772
ENSG00000006837	32	19	29	31	44	34
ENSG00000007001	19	4	8	7	10	0
ENSG00000007038	0	1	1	0	95	78
ENSG00000007047	2670	1903	2697	2702	2617	2377
ENSG00000007062	4265	3517	461	610	3006	2487
ENSG00000007080	3702	2826	4050	4183	3684	3603
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	9792	8809	9090	10170	9177	8520
ENSG00000007171	1	2	0	0	1	1
ENSG00000007174	1	1	0	0	0	0
ENSG00000007202	12073	10450	12319	13349	11797	10814
ENSG00000007216	3	0	0	0	0	0
ENSG00000007237	177	114	4	10	202	142
ENSG00000007255	467	383	537	488	372	415
ENSG00000007264	17	19	3	3	11	6
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	5	4	0	0	0	1
ENSG00000007314	1	2	0	2	2	0
ENSG00000007341	701	574	707	670	583	487
ENSG00000007350	2	0	23	14	7	4
ENSG00000007372	5140	3870	4310	3445	3242	2622
ENSG00000007376	1858	1488	1143	1115	1523	1282
ENSG00000007384	5128	4348	3881	4167	3639	3217
ENSG00000007392	3181	2390	3027	2598	2924	2335
ENSG00000007402	35	17	25	23	48	31
ENSG00000007516	133	123	108	135	76	118
ENSG00000007520	1450	1188	1399	1624	1586	1622
ENSG00000007541	2369	1916	2081	1947	2546	2384
ENSG00000007545	954	707	642	631	693	530
ENSG00000007866	4948	3830	2263	2317	4914	5477
