ID	Hexagon_index	Cluster_base
BC038286	485	7
Zfand2b	346	8
Abcb6	346	8
Atg9a	346	8
D1Ertd161e	347	11
Stk16	285	8
Dnajb10	286	10
Ptprn	286	10
Resp18	346	8
Dnpep	413	7
Des	285	8
Speg	231	10
Gmppa	185	10
Accn4	236	10
D1Bwg1363e	290	10
A230078I05Rik	420	10
AW822216	572	11
Inha	657	11
Stk11ip	414	11
Slc4a3	413	7
Epha4	699	31
Pax3	700	31
Sgpp2	542	19
Mogat1	626	19
Utp14b	715	19
Acsl3	715	19
Kcne4	681	35
Scg2	443	3
Ap1s3	371	2
Wdfy1	307	2
Mrpl44	371	2
Serpine2	440	2
A830043J08Rik	698	6
Cul3	610	5
9430031J16Rik	689	4
Irs1	685	3
Rhbdd1	686	3
Col4a4	599	3
Col4a3	518	3
5230400G24Rik	155	2
Tm4sf20	116	32
Hrb	115	32
Slc19a3	156	5
Ccl20	442	3
4930563E19Rik	688	4
4930544G21Rik	601	4
5033414K04Rik	448	6
Dner	381	31
Trip12	321	23
Fbxo36	385	20
Slc16a14	385	20
A530032D15Rik	693	4
C130026I21Rik	690	4
Sp100	375	6
Cab39	384	21
Itm2c	391	22
Gpr55	402	13
Spata3	275	13
Psmd1	407	14
Htr2b	483	9
Armc9	647	9
B3gnt7	566	7
Ncl	653	7
Nmur1	490	11
Ptma	493	11
Pde6d	571	11
Cops7b	652	7
Nppc	565	7
4930429A22Rik	412	9
Akp5	227	8
Alpi	282	8
Akp3	282	8
Ecel1	282	8
Chrnd	412	9
Chrng	412	9
Eif4e2	485	7
Efhd1	485	7
Tnrc15	344	8
Ngef	225	14
Neu2	342	8
Inpp5d	341	8
Atg16l1	409	8
Sag	410	9
Usp40	26	12
Ugt1a10	191	25
Ugt1a9	147	38
Ugt1a7c	192	38
Ugt1a6b	192	38
Ugt1a6a	192	38
Ugt1a5	150	38
Ugt1a2	308	2
Dnajb3	309	2
Ugt1a1	372	2
6430706D22Rik	373	2
Trpm8	196	39
Spp2	674	27
Glrp1	423	10
Arl4c	354	10
Sh3bp4	423	10
Centg2	46	12
Gbx2	184	10
Asb18	288	10
Cops8	579	30
Col6a3	666	30
Mlph	499	28
Rab17	498	30
Lrrfip1	499	28
Gm817	672	27
Ramp1	424	25
Ube2f	424	25
Scly	358	25
BC056923	424	25
Ilkap	423	10
Hes6	422	10
Per2	495	10
Traf3ip1	423	10
Asb1	673	27
Twist2	504	28
Hdac4	501	28
Ndufa10	663	26
Olfr1416	664	30
Olfr1415	664	30
Olfr1414	664	30
Olfr1413	665	30
Olfr1412	665	30
Olfr1411	665	30
Olfr1410	580	30
Olfr12	581	30
Otos	581	30
Gpc1	358	25
Ankmy1	575	10
Rnpepl1	660	10
Capn10	660	10
Gpr35	575	10
Aqp12	660	10
Kif1a	660	10
