ID	Hexagon_index
ENSG00000099250	5
ENSG00000099364	45
ENSG00000099365	29
ENSG00000099785	10
ENSG00000099840	59
ENSG00000099849	23
ENSG00000099860	38
ENSG00000099864	9
ENSG00000099889	27
ENSG00000099904	42
ENSG00000100003	40
ENSG00000100027	53
ENSG00000100030	7
ENSG00000100031	25
ENSG00000100075	10
ENSG00000100092	13
ENSG00000100100	48
ENSG00000100106	9
ENSG00000100196	10
ENSG00000100242	9
ENSG00000100243	23
ENSG00000100258	7
ENSG00000100292	49
ENSG00000100300	43
ENSG00000100311	22
ENSG00000100330	45
ENSG00000100342	38
ENSG00000100403	12
ENSG00000100439	45
ENSG00000100485	34
ENSG00000100490	38
ENSG00000100504	7
ENSG00000100505	51
ENSG00000100522	7
ENSG00000100557	30
ENSG00000100600	46
ENSG00000100605	22
ENSG00000100612	7
ENSG00000100628	50
ENSG00000100647	9
ENSG00000100711	7
ENSG00000100813	12
ENSG00000100934	2
ENSG00000100979	46
ENSG00000100994	42
ENSG00000101017	15
ENSG00000101057	58
ENSG00000101104	32
ENSG00000101187	50
ENSG00000101198	50
ENSG00000101199	45
ENSG00000101333	43
ENSG00000101335	40
ENSG00000101367	7
ENSG00000101384	50
ENSG00000101400	20
ENSG00000101407	34
ENSG00000101439	2
ENSG00000101493	12
ENSG00000101557	7
ENSG00000101680	52
ENSG00000101782	7
ENSG00000101871	13
ENSG00000101928	15
ENSG00000101938	37
ENSG00000101940	57
ENSG00000102007	8
ENSG00000102024	2
ENSG00000102054	34
ENSG00000102119	23
ENSG00000102144	2
ENSG00000102158	7
ENSG00000102181	23
ENSG00000102189	18
ENSG00000102271	38
ENSG00000102317	18
ENSG00000102384	59
ENSG00000102409	45
ENSG00000102452	38
ENSG00000102554	59
ENSG00000102572	7
ENSG00000102580	17
ENSG00000102699	59
ENSG00000102753	19
ENSG00000102781	58
ENSG00000102804	15
ENSG00000102893	17
ENSG00000102904	28
ENSG00000102934	13
ENSG00000102984	27
ENSG00000102996	41
ENSG00000103034	26
ENSG00000103044	52
ENSG00000103066	41
ENSG00000103067	58
ENSG00000103150	26
ENSG00000103196	61
ENSG00000103249	45
ENSG00000103342	7
ENSG00000103381	19
ENSG00000103449	27
ENSG00000103742	12
ENSG00000103876	21
ENSG00000103888	50
ENSG00000103942	37
ENSG00000103966	2
ENSG00000103994	32
ENSG00000104059	47
ENSG00000104081	50
ENSG00000104154	57
ENSG00000104320	18
ENSG00000104432	14
ENSG00000104549	58
ENSG00000104687	2
ENSG00000104695	19
ENSG00000104756	58
ENSG00000104763	7
ENSG00000104783	36
ENSG00000104812	40
ENSG00000104881	10
ENSG00000104886	7
ENSG00000104951	50
ENSG00000105185	56
ENSG00000105204	45
ENSG00000105220	10
ENSG00000105246	52
ENSG00000105327	14
ENSG00000105373	45
ENSG00000105426	45
ENSG00000105499	48
ENSG00000105514	9
ENSG00000105552	10
ENSG00000105767	27
ENSG00000105825	50
ENSG00000105854	57
ENSG00000105855	27
ENSG00000105856	14
ENSG00000105928	15
ENSG00000105997	26
ENSG00000106025	58
ENSG00000106089	27
ENSG00000106211	39
ENSG00000106261	12
ENSG00000106348	23
ENSG00000106351	41
ENSG00000106366	38
ENSG00000106397	3
ENSG00000106537	13
ENSG00000106605	19
ENSG00000106615	35
ENSG00000106617	38
ENSG00000106714	60
ENSG00000106772	38
ENSG00000106780	57
ENSG00000106799	38
ENSG00000106829	54
ENSG00000106976	47
ENSG00000107104	10
ENSG00000107175	3
ENSG00000107249	31
ENSG00000107281	43
ENSG00000107372	5
ENSG00000107537	2
ENSG00000107551	39
ENSG00000107562	50
ENSG00000107731	49
ENSG00000107796	38
ENSG00000107798	3
ENSG00000107968	47
ENSG00000108091	18
ENSG00000108175	26
ENSG00000108179	15
ENSG00000108239	58
ENSG00000108370	23
ENSG00000108375	61
ENSG00000108448	47
ENSG00000108465	54
ENSG00000108479	10
ENSG00000108582	60
ENSG00000108691	50
ENSG00000108797	10
ENSG00000108829	2
ENSG00000108840	45
ENSG00000108854	50
ENSG00000108947	53
ENSG00000109089	9
ENSG00000109320	32
ENSG00000109321	38
ENSG00000109339	50
ENSG00000109475	32
ENSG00000109667	37
ENSG00000109680	59
ENSG00000109819	60
ENSG00000109846	38
ENSG00000109861	15
ENSG00000109919	7
