ID	Hexagon_index	Cluster_base
201218_at	239	10
201219_at	190	4
201220_x_at	44	4
201221_s_at	162	5
201222_s_at	51	1
201231_s_at	370	11
201237_at	25	1
201238_s_at	144	4
201239_s_at	70	4
201240_s_at	101	4
201242_s_at	362	10
201243_s_at	195	10
201249_at	29	1
201250_s_at	366	10
201251_at	307	11
201253_s_at	185	4
201254_x_at	55	1
201255_x_at	37	3
201259_s_at	110	10
201260_s_at	150	11
201261_x_at	167	6
201262_s_at	167	6
201268_at	52	1
201279_s_at	101	4
201284_s_at	74	4
201285_at	82	1
201286_at	220	8
201287_s_at	217	3
201288_at	232	4
201290_at	49	1
201300_s_at	191	4
201301_s_at	235	10
201302_at	235	10
201303_at	6	1
201307_at	262	7
201309_x_at	95	2
201310_s_at	94	3
201311_s_at	223	8
201312_s_at	132	2
201316_at	73	4
201317_s_at	51	1
201318_s_at	103	4
201319_at	28	1
201320_at	127	3
201324_at	23	2
201326_at	74	4
201327_s_at	151	11
201328_at	389	7
201329_s_at	209	7
201330_at	48	1
201334_s_at	132	2
201337_s_at	155	11
201340_s_at	179	2
201341_at	135	2
201345_s_at	46	4
201348_at	69	2
201349_at	364	10
201350_at	79	1
201352_at	22	2
201354_s_at	156	11
201357_s_at	163	5
201360_at	172	8
201364_s_at	71	4
201365_at	25	1
201366_at	73	4
201367_s_at	80	1
201368_at	110	10
201369_s_at	197	11
201375_s_at	78	1
201378_s_at	119	5
201379_s_at	72	4
201381_x_at	78	1
201387_s_at	138	2
201391_at	116	11
201394_s_at	93	3
201395_at	269	6
201397_at	152	11
201398_s_at	190	4
201399_s_at	146	4
201403_s_at	44	4
201404_x_at	166	6
201406_at	55	1
201407_s_at	145	4
201410_at	146	4
201412_at	45	4
201413_at	233	4
201416_at	93	3
201417_at	63	3
201418_s_at	129	3
201423_s_at	114	1
201424_s_at	191	4
201425_at	45	4
201426_s_at	90	3
201427_s_at	346	2
201428_at	149	10
201430_s_at	289	4
201431_s_at	231	2
201432_at	179	2
201435_s_at	150	11
201436_at	241	10
201438_at	297	10
201439_at	59	3
201443_s_at	235	10
201444_s_at	191	4
201446_s_at	268	12
201447_at	62	3
201454_s_at	193	10
201455_s_at	200	11
201463_s_at	70	4
201464_x_at	220	8
201466_s_at	274	8
201467_s_at	68	2
201469_s_at	106	4
201470_at	290	9
201471_s_at	70	4
201472_at	73	4
201478_s_at	150	11
201479_at	30	1
201481_s_at	9	2
201482_at	373	11
201483_s_at	154	11
201484_at	75	1
201485_s_at	199	11
201486_at	196	11
201487_at	298	10
201492_s_at	17	1
201501_s_at	192	10
201503_at	108	4
201505_at	304	11
201506_at	147	4
201510_at	13	1
201512_s_at	14	1
201520_s_at	196	11
