ID	Hexagon_index
Xkr4	446
Rp1h	695
Sox17	316
Mrpl15	457
Lypla1	457
Tcea1	385
Rgs20	320
Atp6v1h	259
Oprk1	690
Rb1cc1	687
St18	444
Pcmtd1	316
Sntg1	692
Rrs1	213
Adhfe1	213
3110035E14Rik	188
Mybl1	219
Vcpip1	24
Sgk3	338
4930418G15Rik	405
Cops5	335
Cspp1	274
Cpa6	200
C030045D06Rik	317
A830018L16Rik	318
Sulf1	20
Slco5a1	389
Prdm14	475
Ncoa2	474
Tram1	634
Lactb2	456
Xkr9	454
Eya1	599
Msc	375
Trpa1	376
Terf1	161
Gm106	121
Rpl7	79
Rdh10	79
Stau2	249
Ube2w	75
Tceb1	27
Tmem70	13
Ly96	28
Jph1	310
Gdap1	380
Pi15	607
Crispld1	607
Crisp4	607
Defb41	525
Defb17	525
Tcfap2d	695
Tcfap2b	608
Pkhd1	689
Il17a	155
Il17f	114
Mcm3	113
Paqr8	113
Tram2	113
Tmem14a	156
Gsta3	155
Ndg1	253
BC099381	311
Kcnq5	311
Rims1	606
Ogfrl1	688
B3gat2	523
Smap1	450
1110058L19Rik	452
4921533L14Rik	452
Col9a1	444
Col19a1	444
Lmbrd1	690
Bai3	445
4931408C20Rik	447
Gm597	447
Phf3	204
Ptp4a1	204
4931428L18Rik	312
Gluld1	375
4930521A18Rik	693
Khdrbs2	446
Prim2	116
Rab23	282
Bag2	282
Zfp451	227
B230209C24Rik	282
Dst	469
Imp4	475
Ptpn18	474
Tesp1	62
Cfc1	62
Tesp2	62
9430069J07Rik	62
Arhgef4	454
BC043098	80
Plekhb2	114
Hs6st1	343
Ugcgl1	565
Lincr	412
Arid5a	651
4632411B12Rik	651
Lman2l	414
Cnnm4	651
Cnnm3	651
Ankrd23	652
Ankrd39	567
BC050210	349
Cox5b	565
Actr1b	650
Zap70	409
Tmem131	408
A230074B11Rik	336
4921511C04Rik	389
Cnga3	389
Inpp4a	461
6330578E17Rik	123
Unc50	123
Mgat4a	123
Tsga10	165
Mrpl30	170
Gm776	170
2300002O18Rik	219
Txndc9	170
Eif5b	218
Lonrf2	303
Chst10	303
Nms	304
Pdcl3	80
Npas2	113
Rpl31	622
Tbc1d8	622
D1Bwg0212e	137
Rnf149	342
Creg2	660
Map4k4	660
Il1r2	437
Il1r1	685
Il1rl2	685
Il1rl1	687
Il18r1	687
Il18rap	686
Slc9a4	687
Slc9a2	687
Pou3f3	698
Mrps9	698
Gpr45	596
Tgfbrap1	514
AI597479	513
Fhl2	513
Nck2	684
1500015O10Rik	197
Uxs1	152
Tpp2	663
A530098C11Rik	662
Kdelc1	76
Bivm	50
Ercc5	78
4832428D23Rik	113
Gulp1	688
Col3a1	686
Col5a2	686
Wdr75	597
Slc40a1	597
Slc39a10	254
C230029F24Rik	523
Tmeff2	689
Sdpr	686
Myo1b	147
Stat4	327
Stat1	109
Gls	147
Nab1	200
5330401P04Rik	152
2210010L05Rik	152
Inpp1	123
Hibch	116
1700019D03Rik	123
Gdf8	116
Pms1	380
Ormdl1	451
Osgepl1	451
Asnsd1	451
Stk17b	29
Hecw2	53
4930511H11Rik	116
Gtf3c3	89
Ankrd44	165
Sf3b1	343
Hspd1	286
Hspe1	231
Prei3	186
Mars2	43
Boll	212
Hsfy2	444
Satb2	444
1110034B05Rik	198
9430016H08Rik	198
2810022L02Rik	198
Kctd18	664
Sgol2	664
Aox1	664
Aox3	664
Aox4	663
Aox3l1	662
Bzw1	576
Clk1	662
Ppil3	662
Nif3l1	662
Orc2l	661
BC049806	661
Ndufb3	188
Als2cr12	661
Cflar	188
Casp8	189
Trak2	425
Als2cr2	425
Als2cr11	296
Als2cr4	72
Mpp4	103
Als2	135
Fzd7	413
Gm973	565
Sumo1	651
Nol5	413
Bmpr2	346
Als2cr13	179
Wdr12	282
Carf	135
Cyp20a1	177
Abi2	67
Raph1	67
Cd28	145
Ctla4	106
Icos	242
Nrp2	190
Ndufs1	224
Eef1b2	68
Gpr1	104
Adam23	275
Mdh1b	663
Klf7	666
Creb1	576
2310038H17Rik	238
Fzd5	282
9430067K14Rik	575
4921521F21Rik	188
Cryge	73
Crygd	73
Crygc	106
Crygb	331
Cryga	396
D630023F18Rik	396
Idh1	713
Pip5k3	16
Pthr2	200
Crygf	601
Mtap2	518
Rpe	116
1110028C15Rik	116
Acadl	116
Myl1	115
Lancl1	156
Cps1	311
Erbb4	524
Spag16	443
A830006F12Rik	689
Bard1	601
Atic	82
Fn1	78
Pecr	137
Xrcc5	227
March4	342
Smarcal1	176
Rpl37a	133
Igfbp2	133
Igfbp5	96
Tnp1	716
Il8rb	659
Il8ra	653
Arpc2	652
Gpbar1	568
Aamp	568
Pnkd	568
Tmbim1	568
Gm216	349
Slc11a1	349
Ctdsp1	348
Vil1	415
Usp37	653
Rqcd1	348
Plcd4	287
Zfp142	348
Bcs1l	414
Rnf25	649
Stk36	564
Ttll4	651
Cyp27a1	287
Prkag3	235
Wnt6	236
Wnt10a	235
Cdk5r2	183
Fev	136
Cryba2	135
Ihh	649
Nhej1	650
Slc23a3	650
1810031K17Rik	485
BC038286	485
Zfand2b	346
Abcb6	346
Atg9a	346
D1Ertd161e	347
Stk16	285
Dnajb10	286
Ptprn	286
Resp18	346
Dnpep	413
Des	285
Speg	231
Gmppa	185
Accn4	236
D1Bwg1363e	290
A230078I05Rik	420
AW822216	572
Inha	657
Stk11ip	414
Slc4a3	413
Epha4	699
Pax3	700
Sgpp2	542
Mogat1	626
Utp14b	715
Acsl3	715
Kcne4	681
Scg2	443
Ap1s3	371
Wdfy1	307
Mrpl44	371
Serpine2	440
A830043J08Rik	698
Cul3	610
9430031J16Rik	689
Irs1	685
Rhbdd1	686
Col4a4	599
Col4a3	518
5230400G24Rik	155
Tm4sf20	116
Hrb	115
Slc19a3	156
Ccl20	442
4930563E19Rik	688
4930544G21Rik	601
5033414K04Rik	448
Dner	381
Trip12	321
Fbxo36	385
Slc16a14	385
A530032D15Rik	693
C130026I21Rik	690
Sp100	375
Cab39	384
Itm2c	391
Gpr55	402
Spata3	275
Psmd1	407
Htr2b	483
Armc9	647
B3gnt7	566
Ncl	653
Nmur1	490
Ptma	493
Pde6d	571
Cops7b	652
Nppc	565
4930429A22Rik	412
Akp5	227
Alpi	282
Akp3	282
Ecel1	282
Chrnd	412
Chrng	412
Eif4e2	485
Efhd1	485
Tnrc15	344
Ngef	225
Neu2	342
Inpp5d	341
Atg16l1	409
Sag	410
Usp40	26
Ugt1a10	191
Ugt1a9	147
Ugt1a7c	192
Ugt1a6b	192
Ugt1a6a	192
Ugt1a5	150
Ugt1a2	308
Dnajb3	309
Ugt1a1	372
6430706D22Rik	373
Trpm8	196
Spp2	674
Glrp1	423
Arl4c	354
Sh3bp4	423
Centg2	46
Gbx2	184
Asb18	288
Cops8	579
Col6a3	666
Mlph	499
Rab17	498
Lrrfip1	499
Gm817	672
Ramp1	424
Ube2f	424
Scly	358
BC056923	424
Ilkap	423
Hes6	422
Per2	495
Traf3ip1	423
Asb1	673
Twist2	504
Hdac4	501
Ndufa10	663
Olfr1416	664
Olfr1415	664
Olfr1414	664
Olfr1413	665
Olfr1412	665
Olfr1411	665
Olfr1410	580
Olfr12	581
Otos	581
Gpc1	358
Ankmy1	575
Rnpepl1	660
Capn10	660
Gpr35	575
Aqp12	660
Kif1a	660
Agxt	659
2310007B03Rik	660
Sned1	413
Mterfd2	651
Pask	651
Ppp1r7	486
Tmem16g	347
Hdlbp	563
Sept2	412
Farp2	411
Stk25	180
Bok	485
Thap4	650
Atg4b	411
Dtymk	225
Ing5	69
D2hgdh	23
Gal3st2	10
Neu4	462
Pdcd1	462
St8sia4	605
Slco4c1	604
Slco6b1	605
Slco6c1	691
D1Ertd622e	524
Hisppd1	608
Pam	375
C230078M14Rik	522
Cdh20	690
Rnf152	606
Pign	202
2310035C23Rik	311
Tnfrsf11a	113
Bcl2	308
Fvt1	373
Vps4b	374
Serpinb5	374
Serpinb12	374
Serpinb13	375
Serpinb3a	375
Serpinb3d	444
Serpinb3b	444
Serpinb3c	445
Serpinb11	444
Serpinb7	375
Serpinb2	375
Serpinb10	375
Serpinb8	376
Cdh7	691
Cdh19	447
Tsn	333
Mki67ip	43
Clasp1	333
Tcfcp2l1	274
Gli2	399
Inhbb	41
Ralb	134
Epb4.1l5	224
Ptpn4	622
Sctr	26
Tmem37	144
Dbi	46
3110009E18Rik	46
Steap3	539
C1ql2	83
Marco	610
En1	699
Insig2	516
Ccdc93	516
Htr5b	373
Ddx18	310
Dpp10	522
Actr3	201
Slc35f5	113
Lypd1	444
E030049G20Rik	444
Mgat5	699
Acmsd	134
Ccnt2	283
Rab3gap1	412
Zranb3	68
R3hdm1	396
Ubxd2	64
Lct	95
Mcm6	132
Dars	132
Cxcr4	435
Daf2	444
Cd55	445
Zp3r	375
C4bp	374
Pfkfb2	253
AA986860	201
Fcamr	115
Pigr	81
Faim3	32
Il24	16
Il20	6
Il19	6
Il10	69
Mapkapk2	137
Dyrk3	233
Lgtn	494
Rassf5	421
Ikbke	343
Srgap2	343
2700049P18Rik	280
Avpr1b	343
Ctse	342
5430435G22Rik	409
Slc26a9	342
4732466D17Rik	344
Slc41a1	485
Rab7l1	652
Nucks1	568
Slc45a3	488
Elk4	651
Pctk3	287
Lemd1	418
Klhdc8a	567
Nuak2	488
Tmcc2	488
Ripk5	651
Rbbp5	651
Tmem81	485
Cntn2	485
Nfasc	228
Lrrn2	561
Mdm4	483
Ppp1r15b	649
Plekha6	650
Golt1a	564
Kiss1	649
Ren2	563
Ren1	563
Etnk2	648
Sox13	647
Snrpe	651
Zc3h11a	651
Atp2b4	494
Optc	659
Prelp	659
Fmod	652
Btg2	487
