ID	Hexagon_index
201398_s_at	190
201399_s_at	146
201403_s_at	44
201404_x_at	166
201406_at	55
201407_s_at	145
201410_at	146
201412_at	45
201413_at	233
201416_at	93
201417_at	63
201418_s_at	129
201423_s_at	114
201424_s_at	191
201425_at	45
201426_s_at	90
201427_s_at	346
201428_at	149
201430_s_at	289
201431_s_at	231
201432_at	179
201435_s_at	150
201436_at	241
201438_at	297
201439_at	59
201443_s_at	235
201444_s_at	191
201446_s_at	268
201447_at	62
201454_s_at	193
201455_s_at	200
201463_s_at	70
201464_x_at	220
201466_s_at	274
201467_s_at	68
201469_s_at	106
201470_at	290
201471_s_at	70
201472_at	73
201478_s_at	150
201479_at	30
201481_s_at	9
201482_at	373
201483_s_at	154
201484_at	75
201485_s_at	199
201486_at	196
201487_at	298
201492_s_at	17
201501_s_at	192
201503_at	108
201505_at	304
201506_at	147
201510_at	13
201512_s_at	14
201520_s_at	196
201522_x_at	185
201527_at	23
201528_at	106
201529_s_at	114
201531_at	154
201532_at	75
201540_at	269
201543_s_at	184
201548_s_at	110
201549_x_at	195
201552_at	103
201553_s_at	184
201555_at	114
201556_s_at	390
201557_at	270
201559_s_at	192
201560_at	109
201573_s_at	194
201576_s_at	242
201577_at	162
201578_at	365
201586_s_at	72
201589_at	78
201590_x_at	362
201596_x_at	365
201598_s_at	20
201599_at	290
201601_x_at	193
201606_s_at	140
201609_x_at	106
201612_at	76
201613_s_at	81
201614_s_at	111
201617_x_at	241
201619_at	47
201620_at	99
201622_at	81
201623_s_at	305
201624_at	368
201633_s_at	106
201635_s_at	111
201636_at	199
201637_s_at	199
201641_at	366
201645_at	193
201646_at	98
201648_at	275
201650_at	365
201651_s_at	28
201652_at	107
201653_at	108
201654_s_at	260
201655_s_at	256
201656_at	237
201657_at	49
201659_s_at	240
201667_at	363
201668_x_at	272
201669_s_at	271
201670_s_at	272
201681_s_at	95
201682_at	28
201686_x_at	5
201688_s_at	362
201690_s_at	361
201695_s_at	300
201701_s_at	192
201705_at	46
201706_s_at	50
201725_at	29
201729_s_at	162
201731_s_at	388
201735_s_at	48
201739_at	230
201744_s_at	350
201745_at	169
201760_s_at	175
201761_at	367
201762_s_at	37
201764_at	168
201769_at	108
201772_at	299
201774_s_at	158
201778_s_at	139
201782_s_at	60
201784_s_at	78
201785_at	65
201787_at	203
201788_at	14
201790_s_at	114
201798_s_at	302
201800_s_at	45
201801_s_at	111
201802_at	373
201809_s_at	270
201810_s_at	141
201811_x_at	242
201812_s_at	106
201818_at	110
201825_s_at	62
201828_x_at	174
201831_s_at	236
201836_s_at	95
201839_s_at	365
201841_s_at	129
201842_s_at	318
201843_s_at	161
201844_s_at	233
201845_s_at	234
201846_s_at	145
201847_at	137
201848_s_at	366
201849_at	366
201850_at	243
201853_s_at	95
201854_s_at	189
201863_at	2
201864_at	175
201865_x_at	338
201866_s_at	22
201867_s_at	150
201868_s_at	28
201869_s_at	52
201870_at	83
201872_s_at	374
201874_at	193
201875_s_at	147
201883_s_at	53
201887_at	175
201889_at	361
201891_s_at	137
201892_s_at	311
201893_x_at	180
201894_s_at	70
201897_s_at	78
201898_s_at	104
201899_s_at	185
201904_s_at	205
201906_s_at	376
201908_at	91
201910_at	209
201911_s_at	160
201912_s_at	148
201921_at	297
201923_at	193
201924_at	191
201925_s_at	360
201926_s_at	362
201927_s_at	308
201928_at	198
201929_s_at	311
201934_at	63
201940_at	373
201941_at	74
201942_s_at	251
201943_s_at	196
201944_at	189
201946_s_at	79
201947_s_at	53
201948_at	152
201949_x_at	6
201950_x_at	4
201951_at	64
201952_at	129
201955_at	241
201958_s_at	325
201959_s_at	216
201960_s_at	129
201966_at	9
201968_s_at	304
201971_s_at	184
201973_s_at	139
201976_s_at	150
201981_at	30
201983_s_at	130
201989_s_at	295
201990_s_at	357
201993_x_at	60
201997_s_at	9
201998_at	112
202003_s_at	101
202008_s_at	323
202011_at	112
202013_s_at	145
202016_at	198
202017_at	180
202022_at	370
202023_at	303
202024_at	72
202026_at	359
202030_at	309
202032_s_at	269
202043_s_at	195
202052_s_at	170
202057_at	59
202069_s_at	66
202071_at	364
202075_s_at	194
202080_s_at	60
202085_at	301
202087_s_at	299
202088_at	128
202089_s_at	127
202092_s_at	40
202101_s_at	80
202107_s_at	121
202109_at	7
202112_at	13
202113_s_at	150
202117_at	45
202121_s_at	185
202124_s_at	98
202125_s_at	179
202130_at	111
202131_s_at	76
202135_s_at	89
202136_at	130
202138_x_at	50
202144_s_at	80
202145_at	246
202146_at	104
202150_s_at	259
202154_x_at	224
202157_s_at	130
202167_s_at	114
202168_at	150
202178_at	242
202179_at	1
202181_at	94
202184_s_at	50
202185_at	88
202187_s_at	29
202190_at	75
202196_s_at	99
202197_at	21
202202_s_at	336
202206_at	368
202207_at	367
202208_s_at	368
202209_at	49
202212_at	116
202222_s_at	396
202223_at	47
202228_s_at	192
202233_s_at	79
202234_s_at	364
202235_at	299
202236_s_at	300
202242_at	64
202244_at	188
202249_s_at	161
202255_s_at	29
202259_s_at	169
202260_s_at	278
202261_at	42
202262_x_at	171
202263_at	22
202266_at	190
202268_s_at	151
202272_s_at	362
202273_at	216
202274_at	22
202276_at	50
202277_at	195
202278_s_at	152
202283_at	276
202286_s_at	360
202294_at	127
202295_s_at	48
202296_s_at	73
202297_s_at	183
202309_at	113
202310_s_at	201
202315_s_at	185
202328_s_at	88
202330_s_at	245
202332_at	37
202336_s_at	210
202341_s_at	277
202342_s_at	276
202344_at	161
202345_s_at	303
202346_at	239
202347_s_at	297
202350_s_at	238
202352_s_at	150
202357_s_at	98
202359_s_at	42
202362_at	188
202363_at	337
202364_at	370
202369_s_at	296
202370_s_at	61
202371_at	107
202375_at	236
202377_at	141
202378_s_at	69
202379_s_at	395
202380_s_at	388
202384_s_at	113
202386_s_at	131
202388_at	191
202391_at	179
202393_s_at	111
202395_at	73
202409_at	43
202410_x_at	332
202421_at	183
202422_s_at	67
202423_at	271
202427_s_at	234
202429_s_at	191
202431_s_at	382
202435_s_at	331
202436_s_at	333
202437_s_at	332
202440_s_at	322
202444_s_at	78
202446_s_at	45
202447_at	278
202450_s_at	340
202457_s_at	191
202458_at	367
202464_s_at	367
202465_at	322
202472_at	372
202478_at	219
202479_s_at	171
202481_at	68
202484_s_at	335
202487_s_at	46
202493_x_at	357
202497_x_at	365
202498_s_at	365
202499_s_at	365
202501_at	64
202503_s_at	27
202504_at	390
202506_at	388
202507_s_at	395
202508_s_at	275
202511_s_at	192
202517_at	225
202522_at	17
202525_at	366
202529_at	131
202533_s_at	110
202536_at	242
202537_s_at	147
202542_s_at	80
202543_s_at	362
202545_at	74
202546_at	363
202548_s_at	217
202554_s_at	334
202562_s_at	112
202564_x_at	110
202565_s_at	210
202566_s_at	323
202567_at	74
202572_s_at	169
202575_at	375
202582_s_at	188
202584_at	329
202587_s_at	171
202590_s_at	37
202591_s_at	111
202594_at	200
202595_s_at	194
202596_at	114
202598_at	244
202599_s_at	387
202600_s_at	397
202603_at	147
202609_at	335
202611_s_at	188
202613_at	201
202617_s_at	94
202619_s_at	370
202620_s_at	368
202621_at	47
202623_at	150
202625_at	146
202626_s_at	362
202629_at	217
202630_at	219
202635_s_at	105
202636_at	22
202641_at	115
202643_s_at	300
202644_s_at	363
202646_s_at	121
202647_s_at	193
202649_x_at	84
202651_at	229
202656_s_at	72
202657_s_at	113
202664_at	103
202669_s_at	61
202670_at	191
202672_s_at	367
202673_at	111
202678_at	141
202680_at	42
202683_s_at	254
202686_s_at	198
202690_s_at	114
202692_s_at	61
202693_s_at	358
202697_at	298
202701_at	89
202704_at	299
202705_at	1
202709_at	317
202718_at	314
202719_s_at	20
202721_s_at	12
202722_s_at	360
202732_at	193
202733_at	367
202734_at	195
202735_at	184
202736_s_at	154
202737_s_at	151
202740_at	45
202741_at	37
202743_at	275
202746_at	350
202747_s_at	287
202752_x_at	359
202756_s_at	62
202765_s_at	330
202766_s_at	94
202767_at	68
202769_at	113
202770_s_at	250
202771_at	373
202775_s_at	62
202783_at	211
202784_s_at	168
202786_at	335
202787_s_at	158
202789_at	20
202790_at	194
202791_s_at	68
202792_s_at	95
202793_at	26
202794_at	277
202796_at	278
202797_at	360
202800_at	171
202801_at	94
202804_at	80
202805_s_at	118
202808_at	138
202811_at	145
202812_at	54
202813_at	159
202814_s_at	244
202816_s_at	80
202824_s_at	144
202826_at	301
202829_s_at	186
202830_s_at	75
202833_s_at	343
202834_at	344
202842_s_at	190
202843_at	144
202854_at	195
202855_s_at	365
202856_s_at	365
202857_at	142
202872_at	238
202874_s_at	359
202878_s_at	127
202882_x_at	79
202884_s_at	358
202886_s_at	50
202887_s_at	368
202889_x_at	358
202890_at	363
202892_at	110
202893_at	101
202900_s_at	190
202909_at	94
202911_at	79
202912_at	365
202918_s_at	240
202920_at	178
202921_s_at	99
202923_s_at	78
202929_s_at	105
202934_at	367
202935_s_at	335
202936_s_at	274
202939_at	187
202941_at	103
202942_at	135
202947_s_at	396
202948_at	23
202949_s_at	93
202950_at	193
202956_at	108
202965_s_at	279
202966_at	174
202967_at	220
202973_x_at	248
202974_at	41
202976_s_at	98
202981_x_at	24
202982_s_at	277
202983_at	338
202986_at	219
202994_s_at	257
202995_s_at	255
202998_s_at	200
203000_at	343
203001_s_at	343
203002_at	250
203011_at	76
203017_s_at	394
203022_at	79
203023_at	30
203028_s_at	149
203029_s_at	335
203030_s_at	337
203033_x_at	60
203034_s_at	16
203037_s_at	388
203041_s_at	291
203042_at	293
203043_at	69
203052_at	8
203057_s_at	215
203060_s_at	181
203064_s_at	161
203066_at	133
203069_at	15
203071_at	21
203072_at	53
203074_at	194
203075_at	186
203076_s_at	47
203077_s_at	240
203080_s_at	387
203081_at	61
203082_at	116
203085_s_at	308
203088_at	98
203095_at	359
203097_s_at	183
203098_at	296
203099_s_at	241
203100_s_at	360
203102_s_at	190
203106_s_at	4
203107_x_at	56
203112_s_at	157
203113_s_at	122
203123_s_at	358
203124_s_at	193
203126_at	113
203127_s_at	25
203129_s_at	179
203130_s_at	178
203131_at	137
203133_at	139
203138_at	151
203139_at	188
203140_at	359
203142_s_at	54
203148_s_at	295
203149_at	153
203151_at	328
203153_at	27
203156_at	217
203164_at	233
203166_at	79
203173_s_at	26
203176_s_at	248
203177_x_at	247
203178_at	138
203183_s_at	209
203184_at	156
203185_at	175
203186_s_at	72
203194_s_at	112
203199_s_at	12
203207_s_at	78
203211_s_at	150
203216_s_at	195
203219_s_at	197
203221_at	131
203222_s_at	93
203228_at	92
203229_s_at	118
203232_s_at	278
203234_at	149
203235_at	253
203238_s_at	131
203245_s_at	107
203256_at	245
203263_s_at	191
203272_s_at	5
203275_at	94
203282_at	308
203296_s_at	247
203297_s_at	289
203298_s_at	350
203304_at	302
203308_x_at	325
203310_at	13
203312_x_at	295
203313_s_at	300
203315_at	41
203316_s_at	157
203318_s_at	169
203319_s_at	170
203325_s_at	194
203328_x_at	33
203333_at	63
203335_at	135
203339_at	395
203340_s_at	331
203343_at	108
203349_s_at	202
203351_s_at	14
203353_s_at	24
203355_s_at	129
203359_s_at	246
203360_s_at	194
203362_s_at	152
203365_s_at	200
203369_x_at	163
203370_s_at	264
203372_s_at	353
203373_at	353
203377_s_at	49
203381_s_at	364
203382_s_at	364
203383_s_at	392
203389_at	42
203400_s_at	344
203404_at	191
203405_at	78
203407_at	245
203408_s_at	22
203410_at	162
203413_at	275
203417_at	42
203420_at	9
203423_at	338
203424_s_at	332
203427_at	222
203428_s_at	102
203431_s_at	216
203434_s_at	303
203435_s_at	54
203436_at	82
203438_at	368
203439_s_at	369
203441_s_at	160
203445_s_at	68
203448_s_at	360
203449_s_at	361
203453_at	363
203455_s_at	363
203456_at	126
203459_s_at	38
203460_s_at	105
203462_x_at	116
203475_at	41
203476_at	262
203482_at	128
203484_at	50
203485_at	342
203496_s_at	393
203499_at	206
203501_at	23
203502_at	98
203504_s_at	193
203505_at	297
203509_at	246
203511_s_at	138
203524_s_at	161
203525_s_at	173
203526_s_at	217
203527_s_at	393
203528_at	196
203529_at	239
203537_at	46
203545_at	150
203548_s_at	56
203549_s_at	160
203550_s_at	159
203551_s_at	41
203556_at	139
203557_s_at	200
203558_at	61
203560_at	298
203562_at	178
203567_s_at	294
203570_at	137
203574_at	306
203576_at	155
203582_s_at	154
203583_at	187
203584_at	197
203586_s_at	73
203591_s_at	67
203594_at	241
203595_s_at	270
203596_s_at	269
203602_s_at	127
203607_at	143
203608_at	172
203610_s_at	357
203616_at	43
203620_s_at	175
203622_s_at	50
203623_at	393
203626_s_at	54
203631_s_at	12
203632_s_at	291
203635_at	12
203638_s_at	49
203639_s_at	153
203640_at	168
203641_s_at	357
203642_s_at	293
203647_s_at	104
203650_at	75
203658_at	66
203659_s_at	78
203665_at	137
203666_at	340
203683_s_at	210
203685_at	92
203696_s_at	79
203697_at	230
203698_s_at	286
203704_s_at	195
203705_s_at	245
203706_s_at	304
203710_at	196
203713_s_at	111
203714_s_at	107
203716_s_at	355
203717_at	295
203721_s_at	243
203723_at	131
203724_s_at	340
203725_at	193
203735_x_at	359
203736_s_at	26
203738_at	146
203739_at	302
203749_s_at	323
203753_at	99
203756_at	36
203765_at	248
203766_s_at	318
203767_s_at	239
203775_at	194
203778_at	149
203786_s_at	205
203787_at	256
203788_s_at	124
203789_s_at	126
203790_s_at	188
203793_x_at	125
203794_at	64
203795_s_at	170
