ID	Hexagon_index	Cluster_base	data.AB_D_CPM_logFC	data.ATC_D_CPM_logFC	data.LY_D_CPM_logFC
ENSG00000047849	8	8	0.210865441218296	0.230800653784978	0.278767298200272
ENSG00000047932	40	8	0.227580659569093	0.292522222660396	0.439099328220824
ENSG00000048052	185	4	-0.536245503017351	-0.373330435065744	-0.778657569840916
ENSG00000048828	44	8	0.157121148337987	0.267651908090143	0.198210068964051
ENSG00000049130	252	6	-0.240238457257052	-0.405687930718043	-0.66619743079349
ENSG00000049245	58	9	0.209443395402556	0.209031785934925	0.169694289345902
ENSG00000049246	240	1	-0.0848154442189855	-1.13272190301814	-1.46066424503586
ENSG00000049249	237	1	-1.29789359496475	-1.04615437175137	-1.56540878060535
ENSG00000049759	77	6	-0.276967251572692	-0.460335035254847	-0.262981019419849
ENSG00000051180	214	10	0.672749226840697	0.317646909173405	0.298503382607976
ENSG00000051382	166	10	0.527047835062326	0.262488815705085	0.283527925082275
ENSG00000052126	76	6	-0.181053812214974	-0.468797029154423	-0.372628706886784
ENSG00000052802	167	10	0.549890089028312	0.346534079824231	0.317507868254384
ENSG00000054392	141	4	-0.425083767992308	-0.297905355470357	-0.493298542037876
ENSG00000055163	14	6	-0.279693247796756	-0.289107227037016	-0.163669359129381
ENSG00000056291	191	3	-0.341045825701883	-0.528128598922903	-0.803385501728487
ENSG00000056558	148	3	-0.375893199562594	-0.556040434481632	-0.404188488342067
ENSG00000056736	250	6	-0.132381737990458	-0.615408206767763	-0.564839014247475
ENSG00000057252	270	10	0.455497577012767	0.642291834855316	0.0459952634644196
ENSG00000057294	91	9	0.351175582336712	0.312818000011747	0.402065676924107
ENSG00000058085	233	4	-0.279606609756995	-0.178473876185231	-0.453825232175246
ENSG00000059804	83	5	-0.466396339190967	-0.168796982735242	-0.312403457801418
ENSG00000060140	210	10	0.421651730829095	0.274235621051002	0.153535647272587
ENSG00000060642	38	9	0.324989325715996	0.119545741157444	0.468467798840125
ENSG00000060982	19	8	0.215988844317676	0.099610407927158	0.207557087814703
ENSG00000061676	69	8	0.261714037299701	0.278686318669518	0.196918547604597
ENSG00000062485	122	10	0.286078100020704	0.247014431835034	0.121614510119771
ENSG00000063660	10	8	0.0799067901020152	0.241391925855524	0.298840447186909
ENSG00000064012	233	4	-0.18231940047391	-0.222246143125035	-0.400153277447592
ENSG00000064309	244	3	-0.680937304425038	-0.445750447807899	-0.379319096966068
ENSG00000064393	263	10	0.40777967942059	0.486807837293814	0.136830838183413
ENSG00000064601	16	5	-0.330311789994591	-0.239256623179748	-0.175772663765465
ENSG00000064652	168	10	0.478055077115089	0.390536010237449	0.270271074717758
ENSG00000064666	96	8	0.235620471202333	0.487018016802802	0.603382750224201
ENSG00000064989	130	9	0.361157208933344	0.251818882886997	0.859586241161052
ENSG00000065320	148	3	-0.448743591196713	-0.539334919224125	-0.403188615875671
ENSG00000065413	99	8	0.389565632330405	0.550165979164779	0.417382316342823
ENSG00000065802	46	6	-0.19088780723068	-0.178515007458452	-0.211051415008368
ENSG00000065809	104	4	-0.515986393077613	-0.392058001215354	-0.436446646922749
ENSG00000065833	43	8	0.141780750759053	0.310963410250245	0.279636184845212
ENSG00000065882	59	9	0.264290299233152	0.237854236656401	0.213581847768553
ENSG00000065911	87	9	0.25671420658089	0.155024866315985	0.114828819721765
ENSG00000065923	76	6	-0.12371001570094	-0.456420472855082	-0.397123243960504
ENSG00000066322	24	8	0.155432035781192	0.278407537515623	0.248517396147634
ENSG00000066557	263	10	0.374494777073354	0.388252174844352	0.0999507589889745
ENSG00000066629	158	2	-0.606519653676555	-0.079762005073631	-0.477887429364939
ENSG00000066933	181	8	0.303438580640623	0.557496206296276	0.297623352062014
ENSG00000067057	43	8	0.212600331955144	0.303287038543301	0.299489055003727
ENSG00000067064	265	10	0.607742749167724	0.379750724777885	0.12569350648618
ENSG00000067082	179	7	0.933883733786899	0.859277819295402	0.684349478966611
ENSG00000067141	46	6	-0.252936209429658	-0.187373432669369	-0.227789437628762
ENSG00000067167	229	7	0.577108782869702	0.775776687911486	0.609191256372108
ENSG00000067182	41	8	0.171008679190323	0.41246645561859	0.414391726085728
ENSG00000067191	125	9	0.461646547310139	0.207671907662525	0.304748919227484
ENSG00000067221	69	8	0.197922906854012	0.259533043019546	0.249509826093094
ENSG00000067445	260	2	-0.704902750735365	-0.29389855687102	-0.11750506499954
ENSG00000067704	44	8	0.156281919766392	0.205066019730145	0.184566133294339
ENSG00000067798	254	5	-0.395385050551449	-0.453471984726178	-0.994061995021541
ENSG00000067900	124	9	0.407512863164505	0.231691949587586	0.234776671038412
ENSG00000068028	8	8	0.210533733957274	0.109959306503248	0.329082203001271
ENSG00000068650	140	4	-0.2354466386424	-0.131332594343445	-0.382807632562344
ENSG00000068745	140	4	-0.26464458190297	-0.179102798626118	-0.273079022037182
ENSG00000069431	241	3	-0.268462941687794	-0.588296535447872	-1.14758235887233
ENSG00000069849	263	10	0.410134581235797	0.364271073785356	0.0977651900140257
ENSG00000069974	231	8	0.184611871211254	0.513260350606719	0.265755806526798
ENSG00000070404	134	7	0.552081696179453	0.845551593933407	0.760975306491156
ENSG00000070759	198	6	-0.210937976031181	-0.602369575993599	-0.341605318770055
ENSG00000070961	263	10	0.435735716373196	0.446326883561007	0.117172292433469
ENSG00000071082	13	6	-0.22846912666339	-0.213753889571378	-0.160740137514386
ENSG00000071127	41	8	0.107549332715724	0.384829729908056	0.385048103684705
ENSG00000071282	133	8	0.366598858978899	0.757727268777345	0.775140955407938
ENSG00000071539	268	10	0.725943891738304	0.389459100619608	0.23457434697105
ENSG00000072062	19	8	0.192943452214961	0.16636368833195	0.214712626258009
ENSG00000072110	132	8	0.359700181509549	0.535059207410097	0.731425410303732
ENSG00000072121	5	5	-0.279621630894094	-0.213161624353453	-0.145736318652681
ENSG00000072163	223	7	0.530253103227017	0.753347079579635	0.994676014083518
ENSG00000072210	64	8	0.197235651873378	0.273901830755959	0.5330794385875
ENSG00000072274	125	9	0.43915161177711	0.292707013587727	0.229829268191691
ENSG00000072415	166	10	0.546932713668836	0.197005672627207	0.358618245202238
ENSG00000072958	10	8	0.107107755024	0.27304785511798	0.30632733202815
ENSG00000073605	149	3	-0.43774376477231	-0.461801815022008	-0.29830518980055
ENSG00000073712	128	9	0.481767850408955	0.472446088404582	0.505981256911643
ENSG00000073905	100	8	0.253478798234199	0.37688903753181	0.254518577393428
ENSG00000073910	92	9	0.475937323926297	0.254411080977394	0.531228710086174
ENSG00000073921	101	8	0.173802711493952	0.320445636555034	0.148876420088422
ENSG00000074219	114	6	-0.35413870787814	-0.32072244628468	-0.383879453762904
ENSG00000074410	260	2	-0.859313604990004	-0.157835218453803	-0.101787576039732
ENSG00000074416	231	8	0.199122684604554	0.50236134369534	0.291794526636254
ENSG00000074527	14	6	-0.262634023686556	-0.366135842326718	-0.0265646317921595
ENSG00000074657	17	5	-0.27007496324982	-0.146608159277162	-0.136644591830851
ENSG00000074660	105	6	-0.706845547575602	-0.547068692422483	-0.496008744968155
ENSG00000074855	43	8	0.162904379932216	0.321232609547551	0.254886045095289
ENSG00000075142	44	8	0.17579383205385	0.213975279568677	0.155443183361741
ENSG00000075213	238	1	-1.01949331184142	-1.11529706386756	-1.1677875073245
ENSG00000075223	234	4	-0.5456830112727	-0.303844476207885	-0.629412089549803
ENSG00000075239	43	8	0.180838135725248	0.351176982168408	0.238619656552959
ENSG00000075275	65	8	0.158251088606352	0.395301933105742	0.47951965224332
ENSG00000075618	132	8	0.16567927596035	0.617107145149038	0.729680113371749
ENSG00000075624	132	8	0.300506507306812	0.565601538311805	0.712133876040866
ENSG00000075711	251	6	-0.0782054747627079	-0.398869435834898	-0.473984580566629
ENSG00000075790	262	10	0.324353771270645	0.263609322967302	0.0363543968513262
ENSG00000076258	248	3	-0.297057679217633	-0.699386262117842	-0.170051901262045
ENSG00000076554	92	9	0.555252546797957	0.282973100830334	0.499804455343714
ENSG00000076706	133	8	0.380628651512042	0.727737777266167	0.738207453192398
ENSG00000076716	93	9	0.397064003033601	0.087165310850124	0.579328302772647
ENSG00000076864	170	10	0.568110228973495	0.524924043195977	0.507956003781822
ENSG00000077063	175	7	0.492961697986636	0.822375599327622	0.875658645866035
ENSG00000077264	245	3	-0.621826036186591	-0.359604217182533	-0.278306598183234
ENSG00000077420	198	6	-0.239037335226224	-0.590427170061167	-0.391626651360641
ENSG00000077585	108	6	-0.300729865052038	-0.432099471199909	-0.481776018532506
ENSG00000077684	62	9	0.419317105545232	0.243008566600287	0.492539558054527
ENSG00000077713	69	8	0.220326335347895	0.281849133706761	0.200085051314459
ENSG00000077721	58	9	0.224922247861669	0.193704387376487	0.196937937260973
ENSG00000078269	240	1	-0.606799026610544	-0.791891310070535	-0.781063130779054
ENSG00000078401	229	7	0.498358946178913	0.97573397220679	0.546709813405497
ENSG00000078668	122	10	0.301924538637608	0.168518617587031	0.0952212157959664
ENSG00000079150	32	5	-0.504904866261885	-0.230599771793288	-0.170840329105365
ENSG00000079215	225	7	1.34040103766815	0.659515630542454	1.59561882610218
ENSG00000079337	189	1	-0.745111885711962	-0.719195897026425	-0.925384876165587
ENSG00000079459	124	9	0.429366127424316	0.256910199171483	0.218812622434172
ENSG00000079482	42	8	0.232000111972053	0.394514928871019	0.402228285971411
ENSG00000079739	39	8	0.257773006927699	0.299130650285675	0.429114796487485
ENSG00000079931	13	6	-0.255351359147922	-0.238318759137726	-0.189843119392965
ENSG00000080298	207	2	-0.632263336394784	-0.306956828086695	-0.341872471598897
ENSG00000080823	142	1	-0.813976644207375	-0.50720284025831	-0.814947689562269
ENSG00000081052	222	7	0.800619239361887	0.578784958290287	1.23673335537476
ENSG00000081059	200	6	-0.0517195173687846	-0.312003453684177	-0.495907587278128
ENSG00000081853	259	2	-1.04271827283228	-0.180947932038947	-0.23761070495954
ENSG00000081913	43	8	0.196119354269441	0.340188639019197	0.302419651138992
ENSG00000082397	169	10	0.431899679768792	0.431234842923303	0.360901450960135
ENSG00000082438	140	4	-0.162077977939903	-0.11444478870933	-0.329504149798452
ENSG00000082497	263	10	0.401406065352516	0.51715724436028	0.0876488312929
ENSG00000082512	170	10	0.680938981797088	0.467171575868359	0.46501475237683
ENSG00000082805	101	8	0.225495208550778	0.244595292052069	0.161054145405925
ENSG00000083290	164	10	0.415414600603725	0.20070586708771	0.137750480112549
ENSG00000083444	22	8	0.0587038315438519	0.271460193996766	0.449289035666963
ENSG00000083720	211	10	0.533532946805749	0.191867702806289	0.118023591766502
ENSG00000083799	46	6	-0.126456261505528	-0.203409657028184	-0.275187543009427
ENSG00000084636	245	3	-0.707303400741584	-0.39905195647818	-0.132115457682615
ENSG00000085117	144	3	-0.669542882116693	-0.602313226390804	-0.667991335691211
ENSG00000085433	88	9	0.324480535834527	0.245740755603008	0.177635708826123
ENSG00000085491	163	10	0.350342403141876	0.243055377350903	0.107926821572855
ENSG00000085563	179	7	0.743359896532318	1.06198495351861	0.476947474172118
ENSG00000085788	101	8	0.194937585159547	0.212897929338841	0.138805988365295
ENSG00000085832	122	10	0.340587213628646	0.174914294087284	0.13008854363496
ENSG00000085978	262	10	0.246741696045731	0.357279573423177	0.0808406295870974
ENSG00000086015	87	9	0.278634302987759	0.155755239956886	0.11896599674662
ENSG00000086289	41	8	0.219189713594333	0.332849577173165	0.411203086761338
ENSG00000086300	265	10	0.673354402843255	0.32652436927355	0.154911904946919
ENSG00000086570	240	1	-0.562574629907865	-0.692748170094786	-0.921088064167843
ENSG00000086619	32	5	-0.401935324013855	-0.248509441104641	-0.204612059031093
ENSG00000087008	94	9	0.290496763585845	0.294414793491661	0.607262810193073
ENSG00000087074	107	6	-0.445644032898985	-0.414719596834708	-0.461500696274508
ENSG00000087077	5	5	-0.265643335008686	-0.280136731257746	-0.0951224931816395
ENSG00000087086	243	3	-0.493624402322013	-0.643656348803546	-0.457716381995278
ENSG00000087245	259	2	-0.760123894065909	-0.350387312768105	-0.346213998680835
ENSG00000087263	262	10	0.294038798251798	0.280077175121159	0.119309111289001
ENSG00000087274	19	8	0.195827654572175	0.188126969038397	0.231370356367591
ENSG00000087470	87	9	0.257443018787856	0.202538307922976	0.153789702874898
ENSG00000088280	94	9	0.32337846288885	0.299346280062704	0.661931218474717
ENSG00000088305	156	5	-0.269905608751732	-0.127858168194742	-0.605627329989773
ENSG00000088325	213	10	0.664272935804206	0.252636688269001	0.230234722447414
ENSG00000088448	188	1	-0.878003513449358	-0.852186977846263	-0.867625972722888
ENSG00000088826	257	2	-0.677190302457595	-0.267716892873516	-0.606520667128584
ENSG00000088854	19	8	0.195429239713956	0.154335443434845	0.22565330239535
ENSG00000088899	33	5	-0.359379370160676	-0.130848472354258	-0.128461498863667
ENSG00000088970	52	6	-0.433002972038168	-0.445301487721593	-0.145072791847241
ENSG00000089505	256	2	-0.655484436994356	-0.0072503580715455	-0.855194088902854
ENSG00000089723	258	2	-0.797689220294531	-0.288379663462705	-0.550384048521312
ENSG00000089737	13	6	-0.215653735965416	-0.255218478123096	-0.145498864444106
ENSG00000089847	184	4	-0.42949064565601	-0.239295151889696	-0.490655829574631
ENSG00000090006	53	5	-0.348123412254358	-0.281715315496676	-0.251433637227797
ENSG00000090238	51	6	-0.319634910819869	-0.391906588460163	-0.223001119829972
ENSG00000090339	152	6	-0.364306104620347	-0.55329924792471	-0.35467117271116
ENSG00000090539	178	7	1.14040175492714	1.34635277035863	1.04052750221265
ENSG00000090565	67	8	0.276254520498087	0.541666464819425	0.382959752691434
ENSG00000090776	85	5	-0.268067191326422	-0.10227034554363	-0.16914958148781
ENSG00000090975	97	8	0.315349974119669	0.530835551117322	0.527264949924452
ENSG00000091073	51	6	-0.318281197491599	-0.419545045366057	-0.227760542680984
ENSG00000091129	226	7	2.08227328105351	2.08570059690782	2.2695828516318
ENSG00000091262	189	1	-0.751687967022747	-0.849123016644579	-0.751090871257603
ENSG00000091527	100	8	0.32705481189099	0.435099581487568	0.26049114537558
ENSG00000091592	196	3	-0.451113965976013	-0.57555487312281	-0.237561229518741
ENSG00000091656	56	5	-0.265600343747588	-0.173810277694042	-0.231493728036442
ENSG00000091972	66	8	0.179629605924847	0.555424835716767	0.449768128178873
ENSG00000091986	131	9	0.321285073882207	0.35663627598608	0.875636567981914
ENSG00000092108	44	8	0.165092205079723	0.198994275407451	0.214113754127289
ENSG00000092421	49	6	-0.222945573183464	-0.402106170313457	-0.282269968467037
ENSG00000092445	268	10	0.67942612803264	0.514810150021726	0.323163851596168
ENSG00000092820	69	8	0.228418774529267	0.318101909847975	0.202136643279125
ENSG00000092964	263	10	0.408441988731064	0.437872326289909	0.200666340483499
ENSG00000092969	97	8	0.409320301200035	0.516726023663358	0.470361743306558
ENSG00000093167	168	10	0.462252302049768	0.361830144855036	0.262428884283003
ENSG00000094841	100	8	0.305281988218812	0.390339653632844	0.18685108733173
ENSG00000095015	103	4	-0.335975060074368	-0.200114945374033	-0.35918978565383
ENSG00000095380	231	8	0.125635857869303	0.436613103540041	0.301818376778412
ENSG00000095539	181	8	0.360694033405907	0.714617907297682	-0.0335640919881237
ENSG00000095587	161	2	-0.521197436721899	-0.138541760142387	-0.0955716240130799
ENSG00000095713	228	7	0.750190682549922	1.50863208608039	0.869556935462751
ENSG00000095739	127	9	0.427265764091806	0.385682326442168	0.409056004850822
ENSG00000095752	237	1	-1.74913935687152	-1.31438203164309	-1.78441407761484
ENSG00000096060	226	7	1.89484634016283	2.6628786229819	3.13273578370767
ENSG00000096070	6	5	-0.27968691587941	-0.18095465311533	-0.133090028492173
ENSG00000097021	99	8	0.338977699495075	0.540122161708613	0.398680248110781
ENSG00000097033	69	8	0.253174336413392	0.26989403510545	0.205162329415447
ENSG00000099139	114	6	-0.418221257454866	-0.374437081382887	-0.433367285289212
ENSG00000099194	230	8	0.386444336167822	0.588632406570921	0.415710452204827
ENSG00000099204	10	8	0.114053167498262	0.258675201962043	0.30443625638879
ENSG00000099250	85	5	-0.312531666470177	-0.0782866787286443	-0.246449372618372
ENSG00000099364	16	5	-0.396271101911313	-0.221162277763948	-0.137151263470371
ENSG00000099365	145	3	-0.635030090751654	-0.534593865550876	-0.686042586304565
ENSG00000099785	10	8	0.172926980401294	0.246605937682665	0.301244913774138
ENSG00000099840	215	10	0.609992661489875	0.41860434985038	0.179021564739068
ENSG00000099849	40	8	0.173685541191455	0.303187179812848	0.421541483259328
ENSG00000099860	225	7	1.22304871228662	1.03011124056461	1.35492527063006
ENSG00000099864	67	8	0.345109516629047	0.43959285335485	0.413200408822746
ENSG00000099889	114	6	-0.417739568407382	-0.338376959890106	-0.360302917466702
ENSG00000099904	40	8	0.0486225286172726	0.250622396001624	0.498035586994214
ENSG00000100003	132	8	0.290479001761566	0.635989091236577	0.634405682249985
ENSG00000100027	251	6	-0.132055501709123	-0.510190556823067	-0.537566543724283
ENSG00000100030	58	9	0.234135937286159	0.229401330042259	0.12940494417941
ENSG00000100031	71	6	-0.2175298106788	-0.151297214238713	-0.150205254891677
ENSG00000100075	10	8	0.135900188120789	0.267842238277069	0.318536196824501
ENSG00000100092	160	2	-0.56359799147992	-0.09745876624386	-0.342595420094664
ENSG00000100100	244	3	-0.890741545749804	-0.578357594941948	-0.368936480737839
ENSG00000100106	67	8	0.30712875107732	0.377275586700334	0.439634803172306
ENSG00000100196	10	8	0.131461696667694	0.234798059009067	0.31159086870702
ENSG00000100242	38	9	0.303755719096001	0.324281137586262	0.40274800700529
ENSG00000100243	22	8	0.144060881700437	0.281606163935209	0.396954461308338
ENSG00000100258	37	9	0.238055621669945	0.220302018973858	0.28709699219637
ENSG00000100292	144	3	-0.730930666672539	-0.770545725804467	-0.542005178845423
ENSG00000100300	10	8	0.0577021696783486	0.266634105782141	0.296513936813684
ENSG00000100311	65	8	0.294140819379884	0.346266344435493	0.461892853360848
ENSG00000100330	5	5	-0.302928209616072	-0.252736825159517	-0.0948805975849805
ENSG00000100342	135	7	1.11369744013014	0.624351084216317	1.0463138664278
ENSG00000100403	56	5	-0.345242612666801	-0.147716536746483	-0.253209201012551
ENSG00000100439	15	5	-0.412132219719731	-0.345330621040646	0.0406151441277522
ENSG00000100485	88	9	0.297100525048757	0.253181724456778	0.16391070960573
ENSG00000100490	179	7	0.899170214980742	0.948611519451195	0.695462440804605
ENSG00000100504	69	8	0.164020903344253	0.298079168802224	0.212628132587266
ENSG00000100505	242	3	-0.438634085749749	-0.717379959779307	-0.569887923000635
ENSG00000100522	101	8	0.210095045861411	0.278556011441344	0.155614142345243
ENSG00000100557	255	2	-0.426487256051987	-0.0848226608440372	-0.868146101552068
ENSG00000100600	79	6	-0.415719899521422	-0.448826211204962	-0.156621243491945
ENSG00000100605	92	9	0.362149995805519	0.369655873083507	0.496528262625816
ENSG00000100612	19	8	0.198341047356682	0.194947172785011	0.229390646968099
ENSG00000100628	237	1	-1.56524840426149	-0.951110263545552	-1.97043983941426
ENSG00000100647	66	8	0.216138701731843	0.450530207253981	0.401479012911321
ENSG00000100711	59	9	0.256475210529977	0.245094746314246	0.184353195304178
ENSG00000100813	56	5	-0.293854513234915	-0.194267920528387	-0.232362703946849
ENSG00000100934	43	8	0.179233626546567	0.332037709100726	0.253860927313637
ENSG00000100979	194	3	-0.527079668770323	-0.395237193726588	-0.204913663459549
ENSG00000100994	40	8	0.194930760842841	0.324558849511615	0.468885964173114
ENSG00000101017	103	4	-0.337421711695732	-0.164889992079294	-0.351563793524056
ENSG00000101057	265	10	0.675487897796812	0.204017662157629	0.0668012416129349
ENSG00000101104	46	6	-0.116571666326417	-0.220820843502789	-0.258353556448484
ENSG00000101187	235	1	-0.672041658984213	-0.583805342758066	-0.890607849676333
ENSG00000101198	237	1	-2.39027824780814	-1.81662753973159	-1.59025812726585
ENSG00000101199	31	5	-0.42704517932014	-0.261984895336239	-0.126153115908562
ENSG00000101333	8	8	0.159110715573171	0.128434745119215	0.37991809520735
ENSG00000101335	132	8	0.339172416117963	0.560800357335047	0.79713507786561
ENSG00000101367	19	8	0.190690653887003	0.205209942833911	0.230561868102706
ENSG00000101384	189	1	-0.668944787902371	-1.047103120435	-0.506198320245852
ENSG00000101400	134	7	0.529016108618454	0.722836706690052	0.745482741976826
ENSG00000101407	88	9	0.301111910294526	0.1965703612333	0.174990741341099
ENSG00000101439	231	8	0.177023362579002	0.451415131607478	0.253130651376544
ENSG00000101493	16	5	-0.347091627016574	-0.253852020801374	-0.188530387865214
ENSG00000101557	58	9	0.238471345186429	0.235592512373494	0.140129937393239
ENSG00000101680	249	3	-0.334675712237492	-0.723932410159277	-0.417173304432486
ENSG00000101782	43	8	0.226888907560109	0.23828181557746	0.27701523562308
ENSG00000101871	72	6	-0.349168196249477	-0.280388120093256	-0.348417477773999
ENSG00000101928	233	4	-0.325962352984045	-0.14626862654873	-0.347123613446757
ENSG00000101938	180	8	0.466269307582122	0.755240055507576	0.429215253790172
ENSG00000101940	165	10	0.47196033522896	0.108969142471464	0.198338546791006
ENSG00000102007	230	8	0.35922681671756	0.611654440328853	0.451406646296618
ENSG00000102024	42	8	0.205925664617649	0.34438117626488	0.338919890499701
ENSG00000102054	122	10	0.297559844956201	0.21099281474087	0.0877346151814988
ENSG00000102119	41	8	0.248378932077725	0.300117728147698	0.393810965841134
ENSG00000102144	43	8	0.183915328830228	0.313341390486531	0.256525255379195
